index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,wisesight_thai_sentiment_seacrowd_text,0,tha,0.5649569449644328,0.5649569449644328,0.5649569449644328,0.5649569449644328,0.41895465990205283,0.4073789513211258,0.40719911392909214,0.587968803583938,0.5649569449644328,0.5713089958326799
1,belebele_tha_thai_seacrowd_qa,0,tha,0.7177777777777777,0.7177777777777777,0.7177777777777777,0.7177777777777777,0.7178151260488078,0.7174472415327924,0.716831589069056,0.7194738127956162,0.7177777777777777,0.7178528764706736
2,xnli.tha_seacrowd_pairs,0,tha,0.3339321357285429,0.3339321357285429,0.3339321357285429,0.3339321357285429,0.28472950267610303,0.3339321357285429,0.2129429820030548,0.2847295026761031,0.3339321357285429,0.21294298200305478
3,wongnai_reviews_seacrowd_text,0,tha,0.5042721263904563,0.5042721263904563,0.5042721263904563,0.5042721263904563,0.3707199221523694,0.3912101446281499,0.2521669805144692,0.5152124726701592,0.5042721263904563,0.37503603588821366
4,xcopa_tha_seacrowd_qa,0,tha,0.498,0.498,0.498,0.498,0.49790588195875424,0.498,0.49229543146797416,0.4979058819587542,0.498,0.49229543146797416
5,m3exam_tha_seacrowd_qa,0,tha,0.44142066420664205,0.44142066420664205,0.44142066420664205,0.44142066420664205,0.37984329993287175,0.39003745312195187,0.3691317133813776,0.43225760208728425,0.44142066420664205,0.4197475889824182
6,sib_200_tha_Thai_seacrowd_text,0,tha,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.7843137254901961,0.8319167391748036,0.7056336027233859,0.7002838763747202,0.8107521168479422,0.7843137254901961,0.7542054521379533
